,LESTE,NORTE,CMA,RTP
357,677776.75,7184165.0,84.7125930786133,29.063277204164784
358,677777.0,7184165.0,74.4427642822266,0.7930447758722892
359,677777.25,7184165.0,67.1801376342773,-7.644875913573529
360,677777.5,7184165.0,62.4613914489746,-20.002313718323066
361,677773.0,7184165.25,85.4423141479492,60.64639145179401
362,677773.25,7184165.25,89.5697784423828,-10.530399333196618
363,677773.5,7184165.25,96.7505111694336,-23.51403075649565
364,677773.75,7184165.25,105.819206237793,-50.71627208885185
365,677774.0,7184165.25,115.223022460938,-61.816065825744616
366,677774.25,7184165.25,124.157005310059,-71.44027009296778
367,677774.5,7184165.25,132.286560058594,-72.2090441776346
368,677774.75,7184165.25,141.079498291016,-38.84011925937179
369,677775.0,7184165.25,144.737380981445,23.165944005091387
370,677775.25,7184165.25,144.073791503906,56.864990581944895
371,677775.5,7184165.25,141.445648193359,75.06945015500422
372,677775.75,7184165.25,137.00764465332,81.08130821246128
373,677776.0,7184165.25,129.759338378906,88.11489776806665
374,677776.25,7184165.25,118.22509765625,90.24413424494067
375,677776.5,7184165.25,101.920486450195,88.47440472982044
376,677776.75,7184165.25,89.5522537231445,68.12893475897489
377,677777.0,7184165.25,80.3750686645508,43.15722828988986
378,677777.25,7184165.25,73.6553955078125,35.37961024437769
379,677777.5,7184165.25,69.0790786743164,17.286495947277146
380,677773.0,7184165.5,89.6873016357422,78.8118219712774
381,677773.25,7184165.5,93.1722259521484,9.497798663285613
382,677773.5,7184165.5,99.4058151245117,-2.3223447030100957
383,677773.75,7184165.5,106.400848388672,-25.99573461769054
384,677774.0,7184165.5,112.91886138916,-37.118187605060506
385,677774.25,7184165.5,118.886825561523,-49.67912688421683
386,677774.5,7184165.5,124.934394836426,-49.64293212978815
387,677774.75,7184165.5,131.331512451172,-25.25951075432546
388,677775.0,7184165.5,133.06510925293,24.694984029669797
389,677775.25,7184165.5,132.197830200195,42.086858342166096
390,677775.5,7184165.5,130.478561401367,47.69976795782699
391,677775.75,7184165.5,127.565734863281,46.40852839882528
392,677776.0,7184165.5,122.602699279785,56.08696065166413
393,677776.25,7184165.5,114.138961791992,68.3044484629245
394,677776.5,7184165.5,103.190879821777,79.17448720551246
395,677776.75,7184165.5,93.2556457519531,68.53398263299286
396,677777.0,7184165.5,85.3588638305664,53.223395460816675
397,677777.25,7184165.5,79.4079437255859,54.047188203398264
398,677777.5,7184165.5,75.2005767822266,40.46052981173364
399,677773.0,7184165.75,94.8200759887695,82.99417673212818
400,677773.25,7184165.75,97.0836944580078,18.477981268527905
401,677773.5,7184165.75,102.428833007813,10.839217667971392
402,677773.75,7184165.75,107.598182678223,-6.935974012427643
403,677774.0,7184165.75,111.631118774414,-18.26279493237321
404,677774.25,7184165.75,114.716728210449,-30.19860924258892
405,677774.5,7184165.75,118.263580322266,-26.378477193639885
406,677774.75,7184165.75,121.727096557617,-5.71168747191229
407,677775.0,7184165.75,122.424819946289,30.267382495503476
408,677775.25,7184165.75,120.951919555664,36.67926401417279
409,677775.5,7184165.75,119.790458679199,20.35299949028319
410,677775.75,7184165.75,117.962890625,1.4795718454868343
411,677776.0,7184165.75,115.014060974121,5.212595475138109
412,677776.25,7184165.75,109.609275817871,21.381072424093585
413,677776.5,7184165.75,102.352210998535,41.815025565186616
414,677776.75,7184165.75,95.12744140625,39.08687636401183
415,677777.0,7184165.75,89.06689453125,33.06014103273618
416,677777.25,7184165.75,84.5830917358398,42.2766857989623
417,677777.5,7184165.75,81.5914154052734,34.00095162714479
418,677773.0,7184166.0,101.234664916992,32.71647113912518
419,677773.25,7184166.0,101.390014648438,-22.548743408180304
420,677773.5,7184166.0,105.764381408691,-28.89880950906872
421,677773.75,7184166.0,108.562934875488,-39.31240600384285
422,677774.0,7184166.0,109.819664001465,-45.52094222372505
423,677774.25,7184166.0,109.696846008301,-53.1386129296792
424,677774.5,7184166.0,111.531936645508,-42.73426372221498
425,677774.75,7184166.0,113.642387390137,-22.243701182930568
426,677775.0,7184166.0,114.075080871582,10.225924311830738
427,677775.25,7184166.0,112.469596862793,9.039211540442764
428,677775.5,7184166.0,110.686058044434,-26.83698746587931
429,677775.75,7184166.0,109.053642272949,-67.26855841571151
430,677776.0,7184166.0,108.00862121582,-76.40456530834031
431,677776.25,7184166.0,104.963912963867,-65.02503587087932
432,677776.5,7184166.0,100.19556427002,-41.004106231816365
433,677776.75,7184166.0,95.1788635253906,-38.40425359944502
434,677777.0,7184166.0,90.9927444458008,-34.9972997898611
435,677777.25,7184166.0,88.149055480957,-14.376079173335727
436,677777.5,7184166.0,86.3046951293945,-14.143925467753942
437,677773.0,7184166.25,110.083587646484,-37.23042159858157
438,677773.25,7184166.25,110.437805175781,-75.72485524089353
439,677773.5,7184166.25,110.537979125977,-80.72950841181401
440,677773.75,7184166.25,107.929267883301,-92.74248484839737
441,677774.0,7184166.25,104.511047363281,-107.66528795673096
442,677774.25,7184166.25,100.477821350098,-109.11715658956926
443,677774.5,7184166.25,102.833297729492,-84.1541000233677
444,677774.75,7184166.25,105.825645446777,-53.859162514362964
445,677775.0,7184166.25,107.628562927246,-12.571200895989492
446,677775.25,7184166.25,105.978637695313,-10.843545091655386
447,677775.5,7184166.25,103.396041870117,-61.49918074284919
448,677775.75,7184166.25,101.260025024414,-124.37788144854919
449,677776.0,7184166.25,101.778221130371,-150.91460126486857
450,677776.25,7184166.25,100.21940612793,-147.6453127236567
451,677776.5,7184166.25,97.1067733764648,-131.02429288123005
452,677776.75,7184166.25,93.6695709228516,-129.47536774755534
453,677777.0,7184166.25,91.0178527832031,-130.83837906799212
454,677777.25,7184166.25,89.7780227661133,-104.24411929772597
455,677777.5,7184166.25,88.9260406494141,-96.97316226517975
456,677773.0,7184166.5,118.497116088867,-260.329292750472
457,677773.25,7184166.5,119.127586364746,-286.5825227575095
458,677773.5,7184166.5,115.063438415527,-282.6636652480645
459,677773.75,7184166.5,103.170845031738,-270.2083823840078
460,677774.0,7184166.5,87.3698654174805,-261.3442081216224
461,677774.25,7184166.5,82.2138366699219,-246.23654992377834
462,677774.5,7184166.5,89.8920822143555,-217.20535489509126
463,677774.75,7184166.5,96.9916305541992,-179.8735739033259
464,677775.0,7184166.5,102.785713195801,-130.03166084614665
465,677775.25,7184166.5,101.588729858398,-121.08820834838633
466,677775.5,7184166.5,98.9284515380859,-172.21672077210843
467,677775.75,7184166.5,97.4446105957031,-237.06362256650058
468,677776.0,7184166.5,98.4735336303711,-270.078562492124
469,677776.25,7184166.5,96.8647308349609,-272.42950021251795
470,677776.5,7184166.5,94.3059692382813,-266.5858803290825
471,677776.75,7184166.5,91.5838088989258,-267.95465223666395
472,677777.0,7184166.5,89.7569351196289,-272.4176050870029
