LESTE;NORTE;CMA
            677776.25;          7184164;     89.9721527099609
             677776.5;          7184164;     59.4809951782227
            677776.75;          7184164;     38.1849174499512
               677777;          7184164;      25.524959564209
            677777.25;          7184164;     21.1727027893066
             677777.5;          7184164;     22.7481060028076
               677773;       7184164.25;     62.3953285217285
            677773.25;       7184164.25;     73.7626495361328
             677773.5;       7184164.25;     88.6416473388672
            677773.75;       7184164.25;      107.40022277832
               677774;       7184164.25;     133.632751464844
            677774.25;       7184164.25;     166.265197753906
             677774.5;       7184164.25;     200.178741455078
            677774.75;       7184164.25;     226.260711669922
               677775;       7184164.25;      231.62809753418
            677775.25;       7184164.25;     208.753311157227
             677775.5;       7184164.25;     187.946395874023
            677775.75;       7184164.25;      164.60270690918
               677776;       7184164.25;     137.419448852539
            677776.25;       7184164.25;     107.672660827637
             677776.5;       7184164.25;     79.3945541381836
            677776.75;       7184164.25;     57.3985633850098
               677777;       7184164.25;     41.9242248535156
            677777.25;       7184164.25;      35.482982635498
             677777.5;       7184164.25;     34.3503952026367
               677773;        7184164.5;     70.8838653564453
            677773.25;        7184164.5;     80.1940689086914
             677773.5;        7184164.5;     93.1336212158203
            677773.75;        7184164.5;      109.76335144043
               677774;        7184164.5;     131.530212402344
            677774.25;        7184164.5;      157.39990234375
             677774.5;        7184164.5;     182.916168212891
            677774.75;        7184164.5;     200.873962402344
               677775;        7184164.5;     200.594833374023
            677775.25;        7184164.5;     183.631317138672
             677775.5;        7184164.5;     173.881561279297
            677775.75;        7184164.5;     160.091033935547
               677776;        7184164.5;     140.846603393555
            677776.25;        7184164.5;     116.972381591797
             677776.5;        7184164.5;     92.1288604736328
            677776.75;        7184164.5;     72.4580535888672
               677777;        7184164.5;     57.2174377441406
            677777.25;        7184164.5;     48.9730377197266
             677777.5;        7184164.5;     45.6567420959473
               677773;       7184164.75;     76.8325042724609
            677773.25;       7184164.75;     83.9859466552734
             677773.5;       7184164.75;     94.6140441894531
            677773.75;       7184164.75;      108.60018157959
               677774;       7184164.75;     125.832496643066
            677774.25;       7184164.75;     145.057876586914
             677774.5;       7184164.75;     163.158416748047
            677774.75;       7184164.75;     175.767318725586
               677775;       7184164.75;     177.263702392578
            677775.25;       7184164.75;      169.49365234375
             677775.5;       7184164.75;     162.694961547852
            677775.75;       7184164.75;     153.386001586914
               677776;       7184164.75;     139.720123291016
            677776.25;       7184164.75;     120.827255249023
             677776.5;       7184164.75;     97.7354049682617
            677776.75;       7184164.75;     80.3551025390625
               677777;       7184164.75;     67.5092239379883
            677777.25;       7184164.75;     59.3998908996582
             677777.5;       7184164.75;     54.9356536865234
               677773;          7184165;     81.3340225219727
            677773.25;          7184165;     86.5711898803711
             677773.5;          7184165;     94.9426803588867
            677773.75;          7184165;     106.542770385742
               677774;          7184165;     119.696838378906
            677774.25;          7184165;     133.224578857422
             677774.5;          7184165;     145.725250244141
            677774.75;          7184165;     155.783233642578
               677775;          7184165;     159.169631958008
            677775.25;          7184165;     156.565948486328
             677775.5;          7184165;     152.253784179688
            677775.75;          7184165;      145.91178894043
               677776;          7184165;     136.340576171875
            677776.25;          7184165;     122.171363830566
             677776.5;          7184165;     98.7266693115234
            677776.75;          7184165;     84.7125930786133
               677777;          7184165;     74.4427642822266
            677777.25;          7184165;     67.1801376342773
             677777.5;          7184165;     62.4613914489746
               677773;       7184165.25;     85.4423141479492
            677773.25;       7184165.25;     89.5697784423828
             677773.5;       7184165.25;     96.7505111694336
            677773.75;       7184165.25;     105.819206237793
               677774;       7184165.25;     115.223022460938
            677774.25;       7184165.25;     124.157005310059
             677774.5;       7184165.25;     132.286560058594
            677774.75;       7184165.25;     141.079498291016
               677775;       7184165.25;     144.737380981445
            677775.25;       7184165.25;     144.073791503906
             677775.5;       7184165.25;     141.445648193359
            677775.75;       7184165.25;      137.00764465332
               677776;       7184165.25;     129.759338378906
            677776.25;       7184165.25;      118.22509765625
             677776.5;       7184165.25;     101.920486450195
            677776.75;       7184165.25;     89.5522537231445
               677777;       7184165.25;     80.3750686645508
            677777.25;       7184165.25;     73.6553955078125
             677777.5;       7184165.25;     69.0790786743164
               677773;        7184165.5;     89.6873016357422
            677773.25;        7184165.5;     93.1722259521484
             677773.5;        7184165.5;     99.4058151245117
            677773.75;        7184165.5;     106.400848388672
               677774;        7184165.5;      112.91886138916
            677774.25;        7184165.5;     118.886825561523
             677774.5;        7184165.5;     124.934394836426
            677774.75;        7184165.5;     131.331512451172
               677775;        7184165.5;      133.06510925293
            677775.25;        7184165.5;     132.197830200195
             677775.5;        7184165.5;     130.478561401367
            677775.75;        7184165.5;     127.565734863281
               677776;        7184165.5;     122.602699279785
            677776.25;        7184165.5;     114.138961791992
             677776.5;        7184165.5;     103.190879821777
            677776.75;        7184165.5;     93.2556457519531
               677777;        7184165.5;     85.3588638305664
            677777.25;        7184165.5;     79.4079437255859
             677777.5;        7184165.5;     75.2005767822266
               677773;       7184165.75;     94.8200759887695
            677773.25;       7184165.75;     97.0836944580078
             677773.5;       7184165.75;     102.428833007813
            677773.75;       7184165.75;     107.598182678223
               677774;       7184165.75;     111.631118774414
            677774.25;       7184165.75;     114.716728210449
             677774.5;       7184165.75;     118.263580322266
            677774.75;       7184165.75;     121.727096557617
               677775;       7184165.75;     122.424819946289
            677775.25;       7184165.75;     120.951919555664
             677775.5;       7184165.75;     119.790458679199
            677775.75;       7184165.75;        117.962890625
               677776;       7184165.75;     115.014060974121
            677776.25;       7184165.75;     109.609275817871
             677776.5;       7184165.75;     102.352210998535
            677776.75;       7184165.75;       95.12744140625
               677777;       7184165.75;       89.06689453125
            677777.25;       7184165.75;     84.5830917358398
             677777.5;       7184165.75;     81.5914154052734
               677773;          7184166;     101.234664916992
            677773.25;          7184166;     101.390014648438
             677773.5;          7184166;     105.764381408691
            677773.75;          7184166;     108.562934875488
               677774;          7184166;     109.819664001465
            677774.25;          7184166;     109.696846008301
             677774.5;          7184166;     111.531936645508
            677774.75;          7184166;     113.642387390137
               677775;          7184166;     114.075080871582
            677775.25;          7184166;     112.469596862793
             677775.5;          7184166;     110.686058044434
            677775.75;          7184166;     109.053642272949
               677776;          7184166;      108.00862121582
            677776.25;          7184166;     104.963912963867
             677776.5;          7184166;      100.19556427002
            677776.75;          7184166;     95.1788635253906
               677777;          7184166;     90.9927444458008
            677777.25;          7184166;      88.149055480957
             677777.5;          7184166;     86.3046951293945
               677773;       7184166.25;     110.083587646484
            677773.25;       7184166.25;     110.437805175781
             677773.5;       7184166.25;     110.537979125977
            677773.75;       7184166.25;     107.929267883301
               677774;       7184166.25;     104.511047363281
            677774.25;       7184166.25;     100.477821350098
             677774.5;       7184166.25;     102.833297729492
            677774.75;       7184166.25;     105.825645446777
               677775;       7184166.25;     107.628562927246
            677775.25;       7184166.25;     105.978637695313
