,LESTE,NORTE,ANOM,DX1,DY1,DZ1
112,663398,7284826,0.0,1.9775498677786003e-19,-3.756591121072822e-19,-0.0003298202375369726
113,663498,7284826,0.0,5.795867768723386e-20,-3.161550475626676e-19,-0.0003291330908492398
114,663598,7284826,0.0,1.5253067477540883e-19,-3.1382570695771828e-19,-0.0003288054922638763
115,663698,7284826,0.0,3.0017019026815487e-19,-2.2721658810096607e-19,-0.00032866509568827497
116,663798,7284826,0.0,1.654944160256886e-19,-3.7354152973914645e-19,-0.0003284267523846597
117,663898,7284826,0.0,1.2032749209175186e-20,-6.158988317722831e-19,-0.0003279634960297005
118,663998,7284826,0.0,1.772859324714986e-19,-5.603122946087197e-19,-0.0003273719243126829
119,664098,7284826,0.0,5.154233626671128e-20,-7.943580858469235e-19,-0.00032691144530379556
120,664198,7284826,0.0,3.8820818983526e-20,-4.274340010082013e-19,-0.00032673501286563465
121,664298,7284826,0.0,9.336651939030238e-20,-6.698707123801431e-19,-0.0003267854207299615
122,652198,7284926,0.0,3.289842440422345e-20,1.9862922613113343e-19,-0.00032711453819192645
123,652298,7284926,0.0,-7.775625361820325e-20,2.363221922839498e-19,-0.00032662466988656573
124,652398,7284926,0.0,-2.256893184946547e-19,-1.3658406274475593e-19,-0.00032595779309302255
125,652498,7284926,0.0,-7.300820590599596e-20,1.555364249395709e-19,-0.0003253109560343017
126,652598,7284926,0.0,-1.8598854817417797e-19,1.2218450264143282e-19,-0.00032491236293362414
127,652698,7284926,0.0,-2.734677123932898e-19,-1.3552527156068805e-19,-0.00032478338180975686
128,652798,7284926,0.0,-1.8359377233902956e-19,-8.851494298807439e-20,-0.0003247455442928215
129,652898,7284926,0.0,-2.439601297840558e-19,-2.244637310223896e-20,-0.00032455031327613165
130,652998,7284926,0.0,-2.9654224947919003e-19,-2.0117032497289633e-19,-0.0003241178244548977
131,653098,7284926,0.0,-3.791544493669355e-19,-3.936585622364361e-19,-0.0003236197832865643
